Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
02-Jan-07,3966.25,4016.65,3964.95,4007.4,40789960,1929.76
03-Jan-07,4007.7,4029.8,3985,4024.05,63826475,3291.66
04-Jan-07,4027.3,4041,3979.8,3988.8,67096186,3446.19
05-Jan-07,3990.15,4011.45,3969.65,3983.4,69146575,3558.69
08-Jan-07,3983.3,3987.45,3913,3933.4,63615668,3590.08
09-Jan-07,3933.3,3963.75,3890.75,3911.4,65321592,3753.18
10-Jan-07,3910.95,3911.95,3841.7,3850.3,68470689,3892.68
11-Jan-07,3852.15,3953.1,3833.6,3942.25,83152375,5058.74
12-Jan-07,3944.55,4059.15,3944.55,4052.45,81362992,4727.43
15-Jan-07,4052.85,4099.65,4052.4,4078.4,81723925,4103.23
16-Jan-07,4090.7,4107.45,4067.9,4080.5,60251260,3626.6
17-Jan-07,4084.9,4096.75,4071.55,4076.45,59073863,3077.88
18-Jan-07,4075.2,4140.25,4075.2,4109.05,75646344,4020.61
19-Jan-07,4126,4137.15,4058.35,4090.15,85555366,4541.53
22-Jan-07,4089.6,4114.5,4069.95,4102.45,63758853,3514.19
23-Jan-07,4102.65,4105.1,4056.45,4066.1,80442797,3783.57
24-Jan-07,4066.6,4098.25,4065.75,4089.9,90298316,3760.9
25-Jan-07,4092.05,4157.95,4090.1,4147.7,130890355,5541.44
29-Jan-07,4148.4,4167.15,4115.75,4124.45,94946217,3998.53
31-Jan-07,4123.85,4137.85,4068.55,4082.7,114992600,5378.2
01-Feb-07,4083.4,4141.6,4081.1,4137.2,73460198,3409.67
02-Feb-07,4140.2,4198.7,4132.95,4183.5,92547027,4676.12
05-Feb-07,4193.15,4219,4170,4215.35,62178023,3381.35
06-Feb-07,4216.55,4228.15,4186.15,4195.9,64125214,3421.59
07-Feb-07,4198.2,4232.3,4192.85,4224.25,66702277,3804.96
08-Feb-07,4232,4245.3,4188.45,4223.4,69459583,3340.66
09-Feb-07,4223.5,4239.2,4171.8,4187.4,66107054,3610.6
12-Feb-07,4187.2,4187.2,4044.35,4058.3,91427563,3947.24
13-Feb-07,4069.1,4132.7,3998.3,4044.55,97888267,4496.49
14-Feb-07,4044.9,4057.35,3965.2,4047.1,82077938,4215.28
15-Feb-07,4046.8,4155.7,4046.8,4146.2,77344389,4115.85
19-Feb-07,4149.25,4177.7,4149.25,4164.55,59419122,2847.75
20-Feb-07,4164.85,4175.45,4099.55,4106.95,63235945,3038.13
21-Feb-07,4107.15,4132.8,4080.9,4096.2,72693724,3629.73
22-Feb-07,4096.65,4126.9,4023.15,4040,120932537,5953.76
23-Feb-07,4046,4065.45,3918.2,3938.95,91231906,4716.39
26-Feb-07,3939.1,3958.9,3856.7,3942,86198266,4750.58
27-Feb-07,3948.05,3958,3873.85,3893.9,75831405,3813.71
28-Feb-07,3893.4,3893.4,3674.85,3745.3,143100823,7274.03
01-Mar-07,3745.4,3818.75,3718.15,3811.2,108340792,4980.12
02-Mar-07,3811.65,3842.05,3711.05,3726.75,99384914,4811.76
05-Mar-07,3726.5,3726.65,3554.5,3576.5,111377742,4944.86
06-Mar-07,3577.15,3679.15,3576.65,3655.65,94708234,4354.73
07-Mar-07,3661.55,3714.15,3568.55,3626.85,92664441,4341.61
08-Mar-07,3627.25,3779.5,3626.8,3761.65,102126395,4218.03
09-Mar-07,3761.85,3795.7,3684.25,3718,116080128,4389.81
12-Mar-07,3717.45,3781.45,3713.9,3734.6,89783796,3741.24
13-Mar-07,3735.25,3775.85,3717.15,3770.55,76689083,3142.41
14-Mar-07,3768.4,3768.4,3623,3641.1,83325778,3731.1
15-Mar-07,3644.9,3711.05,3630.55,3643.6,73901367,3587.44
16-Mar-07,3639.35,3683.6,3573.85,3608.55,64748146,3234.07
19-Mar-07,3611.3,3683.35,3602.85,3678.9,45956072,2036.42
20-Mar-07,3680.35,3725,3676.65,3697.6,69478798,2825.38
21-Mar-07,3697.7,3771.2,3680.6,3764.55,73653431,3063.79
22-Mar-07,3764.5,3881,3764.5,3875.9,91519911,4357.66
23-Mar-07,3876.75,3901.75,3850.8,3861.05,85511339,3806.35
26-Mar-07,3863.45,3885.45,3768.25,3819.95,67231993,3448.63
28-Mar-07,3818.75,3830.3,3752.95,3761.1,83105233,4465.85
29-Mar-07,3759.15,3805.85,3750.35,3798.1,111423813,5761.84
30-Mar-07,3788.85,3832.2,3785.3,3821.55,81295476,3945.32
02-Apr-07,3820,3820,3617,3633.6,74611355,3979.31
03-Apr-07,3633.85,3703.05,3632.2,3690.65,64733113,3567.88
04-Apr-07,3689.75,3751.4,3689.75,3733.25,87771799,3685.87
05-Apr-07,3735.2,3771.45,3709.15,3752,75346993,3151.7
09-Apr-07,3752.9,3850.9,3747.25,3843.5,65501863,2737.11
10-Apr-07,3844.15,3858.35,3819.3,3848.15,78284712,3508.74
11-Apr-07,3848.35,3876.35,3844.75,3862.65,89113728,3864.28
12-Apr-07,3861.85,3861.85,3811.25,3829.85,69265870,3230.5
13-Apr-07,3830.35,3924.55,3828.45,3917.35,89158610,4643.26
16-Apr-07,3920.5,4016.8,3920.5,4013.35,85406452,4169.48
17-Apr-07,4014.4,4030,3976.25,3984.95,83281173,4248.2
18-Apr-07,3989.6,4039.25,3981.75,4011.6,73900407,3555.36
19-Apr-07,3998.5,4011,3933.35,3997.65,76167934,3618.63
20-Apr-07,4000.25,4090.05,3995.5,4083.55,96650049,4269.77
23-Apr-07,4083.55,4122.35,4075.2,4085.1,85793172,3672.1
24-Apr-07,4085.1,4162.15,4057.7,4141.8,101792602,5279.14
25-Apr-07,4134.25,4173.3,4114.35,4167.3,96383411,4912.39
26-Apr-07,4170.05,4217.9,4143.25,4177.85,111716820,5921.6
27-Apr-07,4182,4182,4074.3,4083.5,83330984,4143.61
30-Apr-07,4081.6,4096.9,4028.9,4087.9,74746036,3816.33
03-May-07,4089.45,4161.2,4080.75,4150.85,79591422,4196.82
04-May-07,4168.9,4180.9,4109.7,4117.35,67472022,3620.94
07-May-07,4117.5,4157.65,4103.6,4111.15,63121628,2962.32
08-May-07,4111.25,4136.05,4066.4,4077,77322300,4067.24
09-May-07,4077.25,4087.8,4030.55,4079.3,65609530,3484.85
10-May-07,4079.6,4134.2,4057.55,4066.8,74217966,3591.84
11-May-07,4070.2,4094.65,3981.15,4076.65,101897727,4421.44
14-May-07,4078.8,4151.3,4072.45,4134.3,95639685,3429.82
15-May-07,4134.3,4150.45,4102.45,4120.3,82708097,3857.44
16-May-07,4125.4,4181,4113.05,4170.95,87122564,4499.51
17-May-07,4172.1,4232.45,4172.1,4219.55,92236562,5138.95
18-May-07,4216.5,4228.45,4177,4214.5,68771304,3960.85
21-May-07,4217.65,4269.35,4217.55,4260.9,92776373,4309.29
22-May-07,4263.1,4281.6,4234.1,4278.1,85013484,4887.78
23-May-07,4279.6,4291.4,4231.05,4246.2,84529936,4384.41
24-May-07,4246.2,4250.85,4189.05,4204.9,79985272,4033.72
25-May-07,4197.85,4256.4,4141.35,4248.15,87574680,4590.27
28-May-07,4248.35,4295.6,4242.8,4256.55,82687609,3524.29
29-May-07,4257.6,4298.85,4248.9,4293.25,70929391,3797.57
30-May-07,4292.7,4301.6,4241.35,4249.65,88198865,5019.21
31-May-07,4250.25,4306.75,4250.25,4295.8,105631422,4960.86
01-Jun-07,4296.05,4325.8,4288.55,4297.05,73330395,3665.42
04-Jun-07,4300.7,4362.95,4256.45,4267.05,81067590,3405.67
05-Jun-07,4268.9,4292.5,4249.1,4284.65,77453933,3585.98
06-Jun-07,4285.75,4324.1,4190.95,4198.25,83487572,4037.35
07-Jun-07,4197.6,4230.05,4130.5,4179.5,85897072,4096.82
08-Jun-07,4179.5,4195.15,4126.1,4145,104593779,5337.22
11-Jun-07,4183.75,4205.2,4134.95,4145.6,82508456,3650.49
12-Jun-07,4139.7,4166.85,4100.8,4155.2,74344690,3659.97
13-Jun-07,4155.2,4161.8,4102.95,4113.05,64074203,3287.71
14-Jun-07,4113.2,4174.05,4112.85,4170,62857867,3306.45
15-Jun-07,4186.4,4209.45,4153.7,4171.45,63381900,3221.92
18-Jun-07,4177,4208.15,4140.25,4147.1,51604532,2726.28
19-Jun-07,4143.85,4222.4,4136.15,4214.3,56324333,3172.82
20-Jun-07,4214.3,4257,4214.3,4248.65,66195436,3687.78
21-Jun-07,4248.65,4275.35,4220.1,4267.4,71847492,3911.35
22-Jun-07,4267.55,4278.85,4242.5,4252.05,66686692,3525.94
25-Jun-07,4251.4,4264.25,4236.3,4259.4,76162914,3490.6
26-Jun-07,4259.4,4296.15,4250.1,4285.7,79271798,3201.08
27-Jun-07,4286.2,4294.2,4255.25,4263.95,77203717,3335.55
28-Jun-07,4263.9,4291.4,4256.9,4282,117441740,5177.41
29-Jun-07,4282.4,4321.35,4280.95,4318.3,72628435,4423.22
02-Jul-07,4318.4,4346.75,4305.45,4313.75,64709910,3487.02
03-Jul-07,4315.05,4363.35,4313.55,4357.55,60061503,3454.26
04-Jul-07,4358.25,4386.45,4342,4359.3,62524977,3528.45
05-Jul-07,4359.2,4378.55,4311.8,4353.95,64671779,3799.4
