,Score,Close,Accuracy,Accuracy %,Error,Square,Average,RMS
0,6499.75,8179.5,0.794639037,79.46390366,-1679.75,2821560.063,19374157.23,4401.608482
1,6499.75,8192.25,0.793402301,79.3402301,-1692.5,2864556.25,,
2,6298.85,8190.5,0.769043404,76.90434039,-1891.65,3578339.723,,
3,6298.85,8273.8,0.761300732,76.13007324,-1974.95,3900427.503,,
4,6244.35,8243.8,0.757460152,75.74601519,-1999.45,3997800.303,,
5,6244.35,8236.05,0.758172911,75.81729106,-1991.7,3966868.89,,
6,5907.95,8288.6,0.712780204,71.27802041,-2380.65,5667494.423,,
7,5773.1,8380.65,0.688860649,68.88606492,-2607.55,6799317.003,,
8,5755.9,8407.2,0.684639357,68.46393567,-2651.3,7029391.69,,
9,5755.9,8400.35,0.685197641,68.51976406,-2644.45,6993115.803,,
10,5713.6,8412.8,0.679155572,67.91555725,-2699.2,7285680.64,,
11,5670.25,8398,0.675190522,67.51905216,-2727.75,7440620.063,,
12,5647,8417,0.670904123,67.09041226,-2770,7672900,,
13,5647,8435.1,0.6694645,66.94644995,-2788.1,7773501.61,,
14,5636.55,8349.35,0.67508848,67.50884799,-2712.8,7359283.84,,
15,5538.75,8391.5,0.660042901,66.00429006,-2852.75,8138182.563,,
16,5471.75,8475.8,0.645573279,64.55732792,-3004.05,9024316.403,,
17,5471.75,8602.75,0.636046613,63.6046613,-3131,9803161,,
18,5429,8641.25,0.628265587,62.82655866,-3212.25,10318550.06,,
19,5429,8632.75,0.628884191,62.8884191,-3203.75,10264014.06,,
20,5369.95,8561.3,0.62723535,62.72353498,-3191.35,10184714.82,,
21,5369.95,8716.4,0.616074297,61.60742967,-3346.45,11198727.6,,
22,5361.65,8734.25,0.613864957,61.38649569,-3372.6,11374430.76,,
23,5356.2,8740.95,0.612770923,61.27709231,-3384.75,11456532.56,,
24,5352.35,8801.05,0.608149028,60.81490277,-3448.7,11893531.69,,
25,5347.75,8768.3,0.609895875,60.98958749,-3420.55,11700162.3,,
26,5281.35,8769.05,0.602271626,60.22716258,-3487.7,12164051.29,,
27,5274.9,8778.4,0.60089538,60.08953796,-3503.5,12274512.25,,
28,5259.9,8793.55,0.598154329,59.8154329,-3533.65,12486682.32,,
29,5234.85,8805.05,0.59452814,59.45281401,-3570.2,12746328.04,,
30,5234.85,8792.3,0.595390285,59.53902847,-3557.45,12655450.5,,
31,5224.3,8724.7,0.598794228,59.87942279,-3500.4,12252800.16,,
32,5224.3,8778,0.59515835,59.51583504,-3553.7,12628783.69,,
33,5197.95,8821.7,0.589223166,58.92231656,-3623.75,13131564.06,,
34,5197.95,8879.2,0.585407469,58.54074691,-3681.25,13551601.56,,
35,5174.6,8907.85,0.580903361,58.09033605,-3733.25,13937155.56,,
36,5174.6,8926.9,0.579663713,57.9663713,-3752.3,14079755.29,,
37,5155.85,8939.5,0.576749259,57.67492589,-3783.65,14316007.32,,
38,5153.9,8896.7,0.579304686,57.9304686,-3742.8,14008551.84,,
39,5152.1,8879.6,0.580217577,58.02175774,-3727.5,13894256.25,,
40,5152.1,8945.8,0.575923897,57.59238972,-3793.7,14392159.69,,
